CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
BRANDISHING,03/18/2020 01:00:00 AM,20-015011,ANY PERSON WHO WILLFULLY THREATENS TO COMMIT A CRIME WHICH WILL RESULT IN DEATH OR GREAT BODILY INJURY TO ANOTHER PERSON,02X,900 POPLAR CT,Oakland,CA,"900 POPLAR CT
Oakland, CA
(37.806537, -122.290987)"
BURG - COMMERCIAL,05/11/2020 02:13:00 AM,20-023449,BURGLARY-FORCIBLE ENTRY,31X,600 HEGENBERGER RD,Oakland,CA,"600 HEGENBERGER RD
Oakland, CA
(37.744964, -122.195947)"
STOLEN VEHICLE,04/08/2020 06:00:00 PM,20-018414,VEHICLE THEFT - AUTO,30X,7000 HOLLY ST,Oakland,CA,"7000 HOLLY ST
Oakland, CA
(37.763613, -122.184418)"
BURG - AUTO,04/09/2020 10:25:00 AM,20-018437,VANDALISM (AMENDED),04X,1500 HARRISON ST,Oakland,CA,"1500 HARRISON ST
Oakland, CA
(37.803978, -122.266939)"
BURG - AUTO,03/03/2020 03:05:00 PM,20-012275,BURGLARY-AUTO,30Y,2600 73RD AV,Oakland,CA,"2600 73RD AV
Oakland, CA
(37.766901, -122.175421)"
FELONY ASSAULT,05/24/2020 01:51:00 PM,20-025700,ASSAULT WITH FIREARM ON PERSON,27X,5100 BANCROFT AV,Oakland,CA,"5100 BANCROFT AV
Oakland, CA
(37.771773, -122.204876)"
BURG - AUTO,02/26/2020 09:30:00 PM,20-905958,BURGLARY-AUTO,22X,3500 FRUITVALE AV,Oakland,CA,"3500 FRUITVALE AV
Oakland, CA
(37.800418, -122.216111)"
STOLEN VEHICLE,04/04/2020 01:00:00 PM,20-017998,VEHICLE THEFT - AUTO,77X,3800 BURKHALTER AVE,Oakland,CA,"3800 BURKHALTER AVE
Oakland, CA"
ROBBERY,05/24/2020 08:26:00 PM,20-025747,ASSAULT WITH FIREARM ON PERSON,27Y,2500 60TH AV,Oakland,CA,"2500 60TH AV
Oakland, CA
(37.770231, -122.19079)"
GRAND THEFT,02/21/2020 12:45:00 AM,20-906234,GRAND THEFT,05X,MARKET ST & 16TH ST,Oakland,CA,"MARKET ST & 16TH ST
Oakland, CA
(37.80974, -122.280388)"
,05/17/2020 12:50:00 PM,20-910606,BURGLARY-FORCIBLE ENTRY,09X,4300 PIEDMONT AVE,Oakland,CA,"4300 PIEDMONT AVE
Oakland, CA
(37.828947, -122.249056)"
STOLEN VEHICLE,05/20/2020 03:20:00 PM,20-025097,VEHICLE THEFT - AUTO,01X,100 2ND ST,Oakland,CA,"100 2ND ST
Oakland, CA
(37.792833, -122.268125)"
ROBBERY,05/10/2020 03:20:00 PM,20-023389,BATTERY,22X,3500 FRUITVALE AV,Oakland,CA,"3500 FRUITVALE AV
Oakland, CA
(37.800418, -122.216111)"
BURG - RESIDENTIAL,04/28/2020 08:00:00 PM,20-023655,BURGLARY-FORCIBLE ENTRY,21X,2400 25TH AV,Oakland,CA,"2400 25TH AV
Oakland, CA
(37.789073, -122.226478)"
WEAPONS,04/23/2020 02:23:00 PM,20-020603,CONVICTED PERSON POSS/OWN/ETC FIREARM,27X,2100 HIGH ST,Oakland,CA,"2100 HIGH ST
Oakland, CA
(37.776926, -122.209505)"
PETTY THEFT,04/14/2020 02:45:00 AM,20-019286,THEFT,35X,8700 BURR ST,Oakland,CA,"8700 BURR ST
Oakland, CA
(37.758334, -122.161108)"
GRAND THEFT,04/27/2020 05:20:00 PM,20-910535,THEFT,08X,3700 TELEGRAPH AV,Oakland,CA,"3700 TELEGRAPH AV
Oakland, CA
(37.825519, -122.265425)"
FORGERY & COUNTERFEITING,04/22/2020 02:40:00 PM,20-908990,THEFT BY USE OF ACCESS CARD,25X,4700 DAVENPORT AV,Oakland,CA,"4700 DAVENPORT AV
Oakland, CA
(37.787196, -122.183282)"
BURG - RESIDENTIAL,01/11/2020 03:57:00 AM,20-906013,BURGLARY-FORCIBLE ENTRY,12X,4800 TELEGRAPH AV,Oakland,CA,"4800 TELEGRAPH AV
Oakland, CA
(37.834892, -122.262907)"
STOLEN VEHICLE,04/04/2020 06:00:00 PM,20-017920,VEHICLE THEFT - AUTO,15X,400 MERRITT AV,Oakland,CA,"400 MERRITT AV
Oakland, CA
(37.80595, -122.249086)"
ROBBERY,04/06/2020 01:55:00 PM,20-017981,ROBBERY-FIREARM,22Y,3300 WISCONSIN ST,Oakland,CA,"3300 WISCONSIN ST
Oakland, CA
(37.799068, -122.197393)"
STOLEN VEHICLE,05/11/2020 10:30:00 PM,20-023639,VEHICLE THEFT - AUTO,26Y,1200 66TH AV,Oakland,CA,"1200 66TH AV
Oakland, CA
(37.760151, -122.196322)"
WEAPONS,03/23/2020 02:05:00 PM,20-015839,CARRY STOLEN LOADED FIREARM,35X,8800 BANCROFT AV,Oakland,CA,"8800 BANCROFT AV
Oakland, CA
(37.75498, -122.166594)"
RECOVERED VEHICLE - OAKLAND STOLEN,03/06/2020 12:08:00 PM,20-012856,EMBEZZLE LEASED/RENTED VEHICLE,20X,28TH AV & FOOTHILL BLVD,Oakland,CA,"28TH AV & FOOTHILL BLVD
Oakland, CA
(37.784351, -122.225584)"
MISDEMEANOR ASSAULT,04/10/2020 01:30:00 AM,20-018531,THEFT,30X,1600 80TH AV,Oakland,CA,"1600 80TH AV
Oakland, CA
(37.758182, -122.1784)"
RECOVERED O/S STOLEN,05/25/2020 05:31:00 AM,20-025788,POSS STOLEN VEH/VES/ETC,26Y,6600 SAN LEANDRO ST,Oakland,CA,"6600 SAN LEANDRO ST
Oakland, CA
(37.75631, -122.200159)"
BURG - AUTO,04/22/2020 09:30:00 PM,20-909000,BURGLARY-AUTO,08X,400 26TH ST,Oakland,CA,"400 26TH ST
Oakland, CA
(37.815145, -122.266322)"
STOLEN VEHICLE,03/23/2020 03:00:00 PM,20-017726,VEHICLE THEFT - AUTO,14X,300 WARWICK AV,Oakland,CA,"300 WARWICK AV
Oakland, CA
(37.812554, -122.255506)"
DOMESTIC VIOLENCE,05/17/2020 04:00:00 PM,20-024539,CONTEMPT OF COURT:VIOLATE PROTECTIVE ORDER/ETC,05X,800 20TH ST,Oakland,CA,"800 20TH ST
Oakland, CA
(37.811571, -122.277154)"
VANDALISM,04/23/2020 07:00:00 AM,20-909019,VANDALISM,25X,4400 MACARTHUR BLVD,Oakland,CA,"4400 MACARTHUR BLVD
Oakland, CA
(37.786703, -122.19415)"
MISDEMEANOR ASSAULT,04/03/2020 06:50:00 PM,20-017595,BATTERY,34X,1900 92ND AV,Oakland,CA,"1900 92ND AV
Oakland, CA
(37.751334, -122.168095)"
,03/19/2020 12:00:00 PM,20-015358,VEHICLE THEFT - AUTO,18Y,2000 E 22ND ST,Oakland,CA,"2000 E 22ND ST
Oakland, CA
(37.791626, -122.234416)"
VANDALISM,03/15/2020 08:00:00 AM,20-908999,VANDALISM,16Y,1600 MACARTHUR BLVD,Oakland,CA,"1600 MACARTHUR BLVD
Oakland, CA
(37.800575, -122.223704)"
GRAND THEFT,04/22/2020 05:00:00 PM,20-909028,THEFT,10Y,5800 MARTIN LUTHER KING JR W,Oakland,CA,"5800 MARTIN LUTHER KING JR W
Oakland, CA"
WEAPONS,05/05/2020 05:03:00 PM,20-022627,VIOLATION PAROLE:FELONY,25X,3600 39TH AV,Oakland,CA,"3600 39TH AV
Oakland, CA
(37.789634, -122.196842)"
STOLEN VEHICLE,05/01/2020 10:00:00 PM,20-022200,VEHICLE THEFT - AUTO,22X,3700 COOLIDGE AV,Oakland,CA,"3700 COOLIDGE AV
Oakland, CA
(37.799958, -122.207235)"
,05/20/2020 06:30:00 AM,20-910573,BATTERY AGAINST POLICE OFFICER,31X,00 SALLY RIDE WAY,Oakland,CA,"00 SALLY RIDE WAY
Oakland, CA"
FELONY ASSAULT,05/25/2020 12:03:00 AM,20-025776,EXHIBIT DEADLY WEAPON OTHER THAN FIREARM,35X,8800 MACARTHUR BLVD,Oakland,CA,"8800 MACARTHUR BLVD
Oakland, CA
(37.757233, -122.161943)"
ROBBERY,03/28/2020 02:30:00 AM,20-016637,CARJACKING WITH FIREARM,26Y,66TH AV & INTERNATIONAL BLVD,Oakland,CA,"66TH AV & INTERNATIONAL BLVD
Oakland, CA
(37.76235, -122.193699)"
VANDALISM,02/15/2020 09:00:00 AM,20-905939,VANDALISM,77X,3100 ELM ST,Oakland,CA,"3100 ELM ST
Oakland, CA
(37.821145, -122.265484)"
GRAND THEFT,02/23/2020 05:45:00 PM,20-906003,GRAND THEFT,12X,4800 SHATTUCK AV,Oakland,CA,"4800 SHATTUCK AV
Oakland, CA
(37.835192, -122.263819)"
GRAND THEFT,05/11/2020 03:59:00 PM,20-023576,TRESPASS:OCCUPY PROPERTY W/O CONSENT,24X,3700 LYON AV,Oakland,CA,"3700 LYON AV
Oakland, CA
(37.78497, -122.20968)"
BURG - COMMERCIAL,04/05/2020 02:55:00 AM,20-017816,VANDALISM,15X,300 E 17TH ST,Oakland,CA,"300 E 17TH ST
Oakland, CA
(37.798993, -122.252998)"
MISDEMEANOR ASSAULT,04/07/2020 09:30:00 PM,20-018208,BATTERY,27X,5200 FOOTHILL BLVD,Oakland,CA,"5200 FOOTHILL BLVD
Oakland, CA
(37.772636, -122.202965)"
THREATS,04/10/2020 08:50:00 AM,20-018557,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,27X,4300 INTERNATIONAL BLVD,Oakland,CA,"4300 INTERNATIONAL BLVD
Oakland, CA
(37.772377, -122.214811)"
,05/26/2020 12:36:00 AM,20-025944,BURGLARY-FORCIBLE ENTRY,20X,2500 INTERNATIONAL BLVD,Oakland,CA,"2500 INTERNATIONAL BLVD
Oakland, CA
(37.782068, -122.2337)"
STOLEN VEHICLE,04/05/2020 10:35:00 AM,20-017839,VEHICLE THEFT - AUTO,21Y,3200 FRUITVALE AV,Oakland,CA,"3200 FRUITVALE AV
Oakland, CA
(37.797136, -122.217418)"
,05/21/2020 08:50:00 PM,20-910635,BURGLARY-AUTO,31Y,00 HEGENBERGER ROAD,Oakland,CA,"00 HEGENBERGER ROAD
Oakland, CA"
,05/26/2020 10:19:00 PM,20-025941,BURGLARY-FORCIBLE ENTRY,31Z,400 CAPISTRANO DR,Oakland,CA,"400 CAPISTRANO DR
Oakland, CA
(37.727725, -122.179229)"
DOMESTIC VIOLENCE,04/10/2020 10:36:00 PM,20-018648,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,25X,5400 MOUNTAIN BLVD,Oakland,CA,"5400 MOUNTAIN BLVD
Oakland, CA
(37.785182, -122.177959)"
DISORDERLY CONDUCT,03/18/2020 08:25:00 PM,20-015150,ANNOYING TELEPHONE CALL:OBSCENE/THREATENING,26Y,6500 EASTLAWN ST,Oakland,CA,"6500 EASTLAWN ST
Oakland, CA
(37.76037, -122.196555)"
GRAND THEFT,05/05/2020 06:00:00 AM,20-909913,GRAND THEFT,34X,8900 OLIVE ST,Oakland,CA,"8900 OLIVE ST
Oakland, CA
(37.753506, -122.16808)"
BURG - AUTO,03/05/2020 06:56:00 PM,20-012738,BURGLARY-AUTO,18X,1500 FOOTHILL BLVD,Oakland,CA,"1500 FOOTHILL BLVD
Oakland, CA
(37.790617, -122.243623)"
BURG - RESIDENTIAL,04/03/2020 04:00:00 AM,20-018127,BURGLARY-NO FORCE,23X,1400 34TH AV,Oakland,CA,"1400 34TH AV
Oakland, CA
(37.776692, -122.223819)"
BURG - AUTO,02/22/2020 09:45:00 AM,20-905374,BURGLARY-AUTO,04X,300 15TH ST,Oakland,CA,"300 15TH ST
Oakland, CA
(37.803956, -122.267163)"
FORGERY & COUNTERFEITING,03/26/2020 01:00:00 PM,20-020645,OBT CREDIT/ETC:OTHER'S ID,04X,600 17TH ST,Oakland,CA,"600 17TH ST
Oakland, CA
(37.807714, -122.273811)"
BURG - AUTO,05/06/2020 05:00:00 AM,20-909905,BURGLARY-AUTO,01X,400 3RD ST,Oakland,CA,"400 3RD ST
Oakland, CA
(37.796218, -122.274569)"
FORGERY & COUNTERFEITING,04/26/2020 03:05:00 PM,20-909894,THEFT BY USE OF ACCESS CARD,16Y,1400 E 38TH ST,Oakland,CA,"1400 E 38TH ST
Oakland, CA
(37.803942, -122.227307)"
BURG - AUTO,05/05/2020 06:35:00 PM,20-909848,BURGLARY-AUTO,20X,3000 E 9TH ST,Oakland,CA,"3000 E 9TH ST
Oakland, CA
(37.774568, -122.231174)"
VANDALISM,05/23/2020 09:12:00 PM,20-025603,MALICIOUSLY DEFACE W/PAINT/ETC,19X,2000 SOLANO WY,Oakland,CA,"2000 SOLANO WY
Oakland, CA
(37.785406, -122.240382)"
VANDALISM,05/02/2020 07:00:00 PM,20-909893,VANDALISM,77X,600 ALVARADO ROAD,Oakland,CA,"600 ALVARADO ROAD
Oakland, CA"
STOLEN VEHICLE,05/10/2020 04:18:00 AM,20-023605,VEHICLE THEFT - AUTO,30X,6800 ARTHUR ST,Oakland,CA,"6800 ARTHUR ST
Oakland, CA
(37.766418, -122.183122)"
BURG - RESIDENTIAL,04/23/2020 02:00:00 AM,20-909272,BURGLARY-FORCIBLE ENTRY,19X,1700 E 15TH ST,Oakland,CA,"1700 E 15TH ST
Oakland, CA
(37.788469, -122.242215)"
GRAND THEFT,02/22/2020 09:10:00 PM,20-906199,GRAND THEFT,31X,7000 COLISEUM WY,Oakland,CA,"7000 COLISEUM WY
Oakland, CA
(37.754734, -122.204926)"
MISDEMEANOR ASSAULT,02/22/2020 12:17:00 AM,20-010335,WILLFULLY DISCHARGE FIREARM IN A GROSSLY NEG MANNER,07X,800 MEAD AV,Oakland,CA,"800 MEAD AV
Oakland, CA
(37.816439, -122.275235)"
MISDEMEANOR ASSAULT,04/21/2020 01:09:00 PM,20-908974,ASSAULT,11X,700 ALCATRAZ AV,Oakland,CA,"700 ALCATRAZ AV
Oakland, CA
(37.849493, -122.265732)"
TOWED VEHICLE,04/18/2020 02:05:00 PM,20-019797,BUY/SELL/POSSESS VEHICLE WITH ALTERED NUMBER,35X,8600 BANCROFT AV,Oakland,CA,"8600 BANCROFT AV
Oakland, CA
(37.756947, -122.168046)"
VANDALISM,02/19/2020 10:30:00 PM,20-905896,VANDALISM,14Y,3600 GRAND AV,Oakland,CA,"3600 GRAND AV
Oakland, CA
(37.815325, -122.245821)"
VANDALISM,05/03/2020 09:15:00 PM,20-022286,VANDALISM,09X,00 YOSEMITE AV,Oakland,CA,"00 YOSEMITE AV
Oakland, CA"
STOLEN VEHICLE,04/08/2020 06:35:00 PM,20-018404,VEHICLE THEFT - AUTO,30X,7300 KRAUSE AV,Oakland,CA,"7300 KRAUSE AV
Oakland, CA
(37.764543, -122.17809)"
FORGERY & COUNTERFEITING,04/29/2020 11:00:00 PM,20-909578,MAIL/ETC THEFT/ETC,13Y,5800 THORNHILL DR,Oakland,CA,"5800 THORNHILL DR
Oakland, CA
(37.83533, -122.211903)"
BURG - AUTO,03/18/2020 01:51:00 PM,20-015087,VANDALISM-$400,21Y,3100 PLEITNER AV,Oakland,CA,"3100 PLEITNER AV
Oakland, CA
(37.793346, -122.211878)"
OTHER,05/21/2020 06:38:00 AM,20-025180,CONTEMPT OF COURT:DISOBEY COURT ORDER/ETC,31X,600 HEGENBERGER RD,Oakland,CA,"600 HEGENBERGER RD
Oakland, CA
(37.744964, -122.195947)"
FELONY ASSAULT,04/01/2020 04:50:00 PM,20-017272,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,33X,9300 A ST,Oakland,CA,"9300 A ST
Oakland, CA
(37.747045, -122.174806)"
,05/25/2020 11:00:00 PM,20-026015,VEHICLE THEFT - AUTO,33X,1200 83RD AV,Oakland,CA,"1200 83RD AV
Oakland, CA
(37.753231, -122.181678)"
MISDEMEANOR ASSAULT,04/18/2020 10:58:00 AM,20-019776,BATTERY,31Z,200 LOUVAINE AV,Oakland,CA,"200 LOUVAINE AV
Oakland, CA
(37.729334, -122.182942)"
VANDALISM,04/06/2020 01:00:00 AM,20-018408,"VANDALISM [UNDER $1,000] (AMENDED)",31Z,400 DOUGLAS AV,Oakland,CA,"400 DOUGLAS AV
Oakland, CA
(37.730189, -122.182305)"
BURG - OTHER,12/07/2016 06:19:00 AM,16-064564,VEHICLE THEFT - AUTO,01X,00 4TH ST,Oakland,CA,"00 4TH ST
Oakland, CA"
,05/21/2020 02:00:00 AM,20-910589,BURGLARY-AUTO,08X,3400 RICHMOND BOULEVARD,Oakland,CA,"3400 RICHMOND BOULEVARD
Oakland, CA
(37.82049, -122.258265)"
BURG - AUTO,04/19/2020 10:00:00 PM,20-909027,BURGLARY-AUTO,22Y,3300 BRUNELL DR,Oakland,CA,"3300 BRUNELL DR
Oakland, CA
(37.805792, -122.186856)"
FRAUD,10/28/2017 10:15:00 AM,20-905781,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,14Y,800 WALKER AV,Oakland,CA,"800 WALKER AV
Oakland, CA
(37.813685, -122.245392)"
BURG - AUTO,02/19/2020 06:00:00 PM,20-905893,BURGLARY-AUTO,04X,1500 WEBSTER ST,Oakland,CA,"1500 WEBSTER ST
Oakland, CA
(37.804363, -122.268175)"
,05/18/2020 10:10:00 AM,20-910628,MAIL/ETC THEFT/ETC,27X,4600 FOOTHILL,Oakland,CA,"4600 FOOTHILL
Oakland, CA
(37.773674, -122.209692)"
,05/22/2020 06:39:00 AM,20-910609,THEFT,06X,800 APGAR ST,Oakland,CA,"800 APGAR ST
Oakland, CA
(37.828604, -122.271445)"
,05/04/2020 12:05:00 PM,20-910527,THEFT,19X,1600 INTERNATIONAL BOULEVARD,Oakland,CA,"1600 INTERNATIONAL BOULEVARD
Oakland, CA
(37.788213, -122.243984)"
VANDALISM,04/10/2020 04:10:00 AM,20-018536,MALICIOUSLY DESTROY OTHER'S PROPERTY,27X,1700 HIGH ST,Oakland,CA,"1700 HIGH ST
Oakland, CA
(37.774016, -122.212633)"
MISDEMEANOR ASSAULT,05/09/2020 05:25:00 PM,20-023291,BATTERY,35Y,10900 ELVESSA ST,Oakland,CA,"10900 ELVESSA ST
Oakland, CA
(37.751826, -122.129508)"
,05/20/2020 07:00:00 AM,20-910580,VANDALISM,35Y,3200 REVERE AVE,Oakland,CA,"3200 REVERE AVE
Oakland, CA
(37.736496, -122.134385)"
STOLEN VEHICLE,05/05/2020 01:00:00 PM,20-023101,VEHICLE THEFT - AUTO,25X,3700 39TH AV,Oakland,CA,"3700 39TH AV
Oakland, CA
(37.790506, -122.195751)"
ARSON,05/04/2020 11:00:00 PM,20-022622,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,06X,600 SYCAMORE ST,Oakland,CA,"600 SYCAMORE ST
Oakland, CA
(37.815423, -122.270452)"
FELONY ASSAULT,03/19/2020 10:58:00 PM,20-015323,ROBBERY-FIREARM,33X,1000 98TH AV,Oakland,CA,"1000 98TH AV
Oakland, CA
(37.740697, -122.177765)"
STOLEN VEHICLE,04/20/2020 07:50:00 AM,20-020183,VEHICLE THEFT - AUTO,25X,3600 39TH AV,Oakland,CA,"3600 39TH AV
Oakland, CA
(37.789634, -122.196842)"
BURG - AUTO,02/25/2020 08:00:00 PM,20-905859,BURGLARY-AUTO,07X,2200 SAN PABLO AV,Oakland,CA,"2200 SAN PABLO AV
Oakland, CA
(37.812471, -122.273819)"
STOLEN VEHICLE,04/17/2020 12:54:00 PM,20-019640,VEHICLE THEFT - AUTO,26X,500 INDEPENDENT RD,Oakland,CA,"500 INDEPENDENT RD
Oakland, CA
(37.755159, -122.208286)"
,05/26/2020 07:24:00 AM,20-025990,VIOLATE COURT ORDER TO PREVENT DOMESTIC VIOLENCE,26X,4200 INTERNATIONAL BLVD,Oakland,CA,"4200 INTERNATIONAL BLVD
Oakland, CA
(37.772721, -122.215522)"
STOLEN VEHICLE,05/09/2020 11:14:00 AM,20-023233,VEHICLE THEFT - AUTO,33X,9400 A ST,Oakland,CA,"9400 A ST
Oakland, CA
(37.746093, -122.174104)"
,05/18/2020 10:35:00 AM,20-910465,MAIL/ETC THEFT/ETC,18X,1900 E 19TH ST,Oakland,CA,"1900 E 19TH ST
Oakland, CA
(37.789834, -122.237888)"
STOLEN VEHICLE,05/12/2020 06:30:00 AM,20-023626,VEHICLE THEFT - AUTO,22X,5000 WOODMINSTER LN,Oakland,CA,"5000 WOODMINSTER LN
Oakland, CA
(37.811268, -122.197442)"
,03/06/2020 06:00:00 PM,20-013406,BURGLARY-FORCIBLE ENTRY,04X,300 17TH ST,Oakland,CA,"300 17TH ST
Oakland, CA
(37.805387, -122.266503)"
GRAND THEFT,05/06/2020 03:00:00 AM,20-909915,GRAND THEFT,19X,1200 14TH AV,Oakland,CA,"1200 14TH AV
Oakland, CA
(37.78891, -122.246388)"
BURG - AUTO,04/03/2020 05:00:00 PM,20-018093,BURGLARY-AUTO,19X,600 E 11TH ST,Oakland,CA,"600 E 11TH ST
Oakland, CA
(37.793655, -122.254913)"
DOMESTIC VIOLENCE,05/05/2020 05:26:00 PM,20-022631,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,32X,10500 PONTIAC ST,Oakland,CA,"10500 PONTIAC ST
Oakland, CA
(37.738637, -122.167353)"
STOLEN VEHICLE,04/14/2020 03:00:00 AM,20-908988,ATTEMPT VEHICLE THEFT-AUTO,25X,4500 TOMPKINS AV,Oakland,CA,"4500 TOMPKINS AV
Oakland, CA
(37.789774, -122.185991)"
,05/08/2020 05:00:00 AM,20-910126,BURGLARY-NO FORCE,19X,600 E 12TH ST,Oakland,CA,"600 E 12TH ST
Oakland, CA
(37.79434, -122.253968)"
ROBBERY,03/20/2020 09:10:00 AM,20-015372,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",14X,2300 HARRISON ST,Oakland,CA,"2300 HARRISON ST
Oakland, CA
(37.811434, -122.262063)"
WEAPONS,04/23/2020 05:06:00 PM,20-020643,MFG/SALE/POSSESS/ETC METAL KNUCKLES,08X,500 24TH ST,Oakland,CA,"500 24TH ST
Oakland, CA
(37.81347, -122.268584)"
VANDALISM,02/20/2020 10:50:00 AM,20-905940,VANDALISM,02Y,300 HENRY ST,Oakland,CA,"300 HENRY ST
Oakland, CA
(37.803104, -122.298033)"
,05/20/2020 06:00:00 PM,20-910633,BURGLARY-AUTO,20X,3000 CHAPMAN ST,Oakland,CA,"3000 CHAPMAN ST
Oakland, CA
(37.772636, -122.231253)"
DOMESTIC VIOLENCE,05/26/2020 12:51:00 PM,20-026042,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,31Z,10300 SAN LEANDRO ST,Oakland,CA,"10300 SAN LEANDRO ST
Oakland, CA
(37.736634, -122.176517)"
FELONY ASSAULT,04/05/2020 01:19:00 AM,20-017784,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,24X,3800 LYON AV,Oakland,CA,"3800 LYON AV
Oakland, CA
(37.784261, -122.208893)"
MISDEMEANOR ASSAULT,05/11/2020 12:30:00 AM,20-023440,BATTERY,10Y,45TH ST & MARTIN LUTHER KING JR WY,Oakland,CA,"45TH ST & MARTIN LUTHER KING JR WY
Oakland, CA
(37.83358, -122.267465)"
MISDEMEANOR ASSAULT,05/10/2020 09:22:00 PM,20-023417,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,24X,2500 HARRINGTON AV,Oakland,CA,"2500 HARRINGTON AV
Oakland, CA
(37.785845, -122.210658)"
BURG - AUTO,04/08/2020 10:00:00 PM,20-018429,BURGLARY-AUTO,08X,300 W MACARTHUR BLVD,Oakland,CA,"300 W MACARTHUR BLVD
Oakland, CA
(37.824164, -122.257833)"
FRAUD,03/19/2013 03:00:00 PM,20-909892,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,01X,100 2ND ST,Oakland,CA,"100 2ND ST
Oakland, CA
(37.792833, -122.268125)"
,05/26/2020 09:40:00 PM,20-025922,SHOOT AT INHABITED DWELLING/VEHICLE/ETC,08X,2900 TELEGRAPH AV,Oakland,CA,"2900 TELEGRAPH AV
Oakland, CA
(37.818278, -122.267371)"
,05/22/2020 10:00:00 AM,20-910660,BURGLARY-AUTO,22X,2200 MACARTHUR BOULEVARD,Oakland,CA,"2200 MACARTHUR BOULEVARD
Oakland, CA
(37.800349, -122.216139)"
DOMESTIC VIOLENCE,05/12/2020 08:00:00 AM,20-023719,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,26Y,75TH AV & HAWLEY ST,Oakland,CA,"75TH AV & HAWLEY ST
Oakland, CA
(37.75362, -122.193142)"
STOLEN VEHICLE,05/13/2020 03:56:00 PM,20-023239,THEFT PERSONAL PROPERTY/PETTY THEFT,27X,1700 45TH AV,Oakland,CA,"1700 45TH AV
Oakland, CA
(37.773492, -122.211368)"
,05/18/2020 10:00:00 AM,20-910455,THEFT,21Y,3100 BOSTON AVE,Oakland,CA,"3100 BOSTON AVE
Oakland, CA
(37.795547, -122.214397)"
,05/16/2020 06:00:00 PM,20-910443,BURGLARY-AUTO,,E EAST 26TH STREET ST,Oakland,CA,"E EAST 26TH STREET ST
Oakland, CA"
OTHER SEX OFFENSES,05/25/2020 10:10:00 PM,20-025954,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,33X,9600 A ST,Oakland,CA,"9600 A ST
Oakland, CA
(37.744695, -122.173064)"
PETTY THEFT,02/05/2020 05:10:00 PM,20-906077,MAIL/ETC THEFT/ETC,12Y,5900 KEITH AV,Oakland,CA,"5900 KEITH AV
Oakland, CA
(37.845821, -122.247497)"
STOLEN VEHICLE,04/09/2020 09:22:00 AM,20-018427,VEHICLE THEFT - AUTO,26Y,800 77TH AV,Oakland,CA,"800 77TH AV
Oakland, CA
(37.751754, -122.193427)"
WEAPONS,03/06/2020 06:32:00 PM,20-012912,CARRY CONCEALED WEAPON- UNLAWFUL POSSESS,06X,600 37TH ST,Oakland,CA,"600 37TH ST
Oakland, CA
(37.8262, -122.268674)"
STOLEN VEHICLE,05/04/2020 06:00:00 PM,20-022487,VEHICLE THEFT - AUTO,23X,1200 37TH AV,Oakland,CA,"1200 37TH AV
Oakland, CA
(37.774259, -122.22159)"
VANDALISM,02/24/2020 12:00:00 PM,20-906092,VANDALISM,22X,3500 FRUITVALE AV,Oakland,CA,"3500 FRUITVALE AV
Oakland, CA
(37.800418, -122.216111)"
RECOVERED O/S STOLEN,05/25/2020 07:44:00 PM,20-025894,POSS STOLEN VEH/VES/ETC,33X,8400 SAN LEANDRO ST,Oakland,CA,"8400 SAN LEANDRO ST
Oakland, CA
(37.747851, -122.190066)"
STOLEN VEHICLE,05/18/2020 07:46:00 AM,20-024641,POSSESS/ETC BURGLARY TOOLS,19X,1800 E 15TH ST,Oakland,CA,"1800 E 15TH ST
Oakland, CA
(37.787925, -122.241298)"
STOLEN VEHICLE,05/06/2020 04:31:00 AM,20-022705,POSS STOLEN VEH/VES/ETC,23X,3300 E 12TH ST,Oakland,CA,"3300 E 12TH ST
Oakland, CA
(37.776182, -122.225334)"
NARCOTICS,05/22/2020 01:25:00 PM,20-025390,POSS STOLEN VEH/VES/ETC,30Y,7500 MACARTHUR BLVD,Oakland,CA,"7500 MACARTHUR BLVD
Oakland, CA
(37.768188, -122.170668)"
GRAND THEFT,04/19/2020 04:00:00 AM,20-909004,THEFT,77X,COURTLAND AVE,Oakland,CA,"COURTLAND AVE
Oakland, CA"
BURG - AUTO,03/18/2020 01:51:00 PM,20-015087,BURGLARY-AUTO,21Y,3100 PLEITNER AV,Oakland,CA,"3100 PLEITNER AV
Oakland, CA
(37.793346, -122.211878)"
